,accuracy,max_depth,criteria,splitter
211,0.7967511885895404,53,entropy,random
263,0.7963549920760697,66,entropy,random
193,0.7963549920760697,49,gini,random
221,0.7959587955625991,56,gini,random
305,0.7955625990491284,77,gini,random
247,0.7955625990491284,62,entropy,random
177,0.794770206022187,45,gini,random
95,0.794770206022187,24,entropy,random
119,0.7935816164817749,30,entropy,random
89,0.7935816164817749,23,gini,random
347,0.7935816164817749,87,entropy,random
83,0.7931854199683043,21,entropy,random
151,0.7931854199683043,38,entropy,random
353,0.7923930269413629,89,gini,random
373,0.7923930269413629,94,gini,random
381,0.7919968304278923,96,gini,random
345,0.7919968304278923,87,gini,random
303,0.7916006339144216,76,entropy,random
291,0.7912044374009509,73,entropy,random
51,0.7908082408874801,13,entropy,random
143,0.7908082408874801,36,entropy,random
257,0.7908082408874801,65,gini,random
141,0.7908082408874801,36,gini,random
183,0.7904120443740095,46,entropy,random
71,0.7892234548335975,18,entropy,random
219,0.7888272583201268,55,entropy,random
367,0.7888272583201268,92,entropy,random
35,0.7880348652931854,9,entropy,random
99,0.7872424722662441,25,entropy,random
153,0.7872424722662441,39,gini,random
319,0.7872424722662441,80,entropy,random
209,0.7872424722662441,53,gini,random
75,0.7868462757527733,19,entropy,random
79,0.7864500792393027,20,entropy,random
229,0.786053882725832,58,gini,random
167,0.7856576862123613,42,entropy,random
395,0.7852614896988906,99,entropy,random
231,0.7844690966719493,58,entropy,random
189,0.7840729001584786,48,gini,random
103,0.7832805071315373,26,entropy,random
279,0.7832805071315373,70,entropy,random
335,0.7828843106180665,84,entropy,random
275,0.7820919175911252,69,entropy,random
239,0.7816957210776545,60,entropy,random
377,0.7812995245641838,95,gini,random
179,0.7801109350237718,45,entropy,random
361,0.7789223454833597,91,gini,random
159,0.7765451664025357,40,entropy,random
33,0.7737717908082409,9,gini,random
331,0.7733755942947702,83,entropy,random
323,0.7721870047543582,81,entropy,random
27,0.7666402535657686,7,entropy,random
317,0.7642630744849446,80,gini,random
251,0.7543581616481775,63,entropy,random
4,0.7369255150554676,2,gini,best
29,0.7329635499207607,8,gini,random
6,0.7321711568938193,2,entropy,best
25,0.7293977812995246,7,gini,random
21,0.7087955625990491,6,gini,random
23,0.6874009508716323,6,entropy,random
31,0.6850237717908082,8,entropy,random
11,0.6798732171156894,3,entropy,random
17,0.6755150554675119,5,gini,random
13,0.661648177496038,4,gini,random
19,0.5768621236133122,5,entropy,random
0,0.5590332805071315,1,gini,best
2,0.5257527733755943,1,entropy,best
15,0.49643423137876386,4,entropy,random
9,0.4500792393026941,3,gini,random
7,0.4061014263074485,2,entropy,random
5,0.40332805071315375,2,gini,random
1,0.3993660855784469,1,gini,random
3,0.3795562599049128,1,entropy,random
